domain,problem,config,rep,solved,cost,wall,search_time
barman-opt11-strips,pfile01-001.pddl,stock,1,1,90,11.249,10.2902
barman-opt11-strips,pfile01-001.pddl,policy,1,1,90,10.946,9.92896
barman-opt11-strips,pfile01-002.pddl,stock,1,1,90,11.495,10.5038
barman-opt11-strips,pfile01-002.pddl,policy,1,1,90,8.880,7.86067
barman-opt11-strips,pfile01-003.pddl,stock,1,1,90,10.949,9.86884
barman-opt11-strips,pfile01-003.pddl,policy,1,1,90,5.862,4.93692
barman-opt11-strips,pfile01-004.pddl,stock,1,1,90,11.652,10.6176
barman-opt11-strips,pfile01-004.pddl,policy,1,1,90,8.728,7.77822
barman-opt11-strips,pfile02-005.pddl,stock,1,1,121,143.956,141.992
barman-opt11-strips,pfile02-005.pddl,policy,1,1,121,159.892,157.729
barman-opt11-strips,pfile02-006.pddl,stock,1,1,121,192.901,190.007
barman-opt11-strips,pfile02-006.pddl,policy,1,1,121,128.142,126.035
barman-opt11-strips,pfile02-007.pddl,stock,1,1,121,142.174,140.02
barman-opt11-strips,pfile02-007.pddl,policy,1,1,121,109.617,107.054
barman-opt11-strips,pfile02-008.pddl,stock,1,1,121,132.444,130.037
barman-opt11-strips,pfile02-008.pddl,policy,1,1,121,105.975,103.568
barman-opt11-strips,pfile03-009.pddl,stock,1,0,,1800.386,
barman-opt11-strips,pfile03-009.pddl,policy,1,0,,1799.963,
barman-opt11-strips,pfile03-010.pddl,stock,1,0,,1800.354,
barman-opt11-strips,pfile03-010.pddl,policy,1,0,,1800.939,
barman-opt11-strips,pfile03-011.pddl,stock,1,1,152,1740.655,1734.35
barman-opt11-strips,pfile03-011.pddl,policy,1,1,152,1461.135,1455.54
barman-opt11-strips,pfile03-012.pddl,stock,1,0,,1800.330,
barman-opt11-strips,pfile03-012.pddl,policy,1,1,152,1408.913,1403.5
barman-opt11-strips,pfile04-013.pddl,stock,1,0,,1800.720,
barman-opt11-strips,pfile04-013.pddl,policy,1,0,,1801.288,
barman-opt11-strips,pfile04-014.pddl,stock,1,0,,1801.361,
barman-opt11-strips,pfile04-014.pddl,policy,1,0,,1800.988,
barman-opt11-strips,pfile04-015.pddl,stock,1,0,,1800.449,
barman-opt11-strips,pfile04-015.pddl,policy,1,0,,1800.457,
barman-opt11-strips,pfile04-016.pddl,stock,1,0,,1800.557,
barman-opt11-strips,pfile04-016.pddl,policy,1,0,,1800.989,
barman-opt11-strips,pfile05-017.pddl,stock,1,0,,1799.995,
barman-opt11-strips,pfile05-017.pddl,policy,1,0,,1800.137,
barman-opt11-strips,pfile05-018.pddl,stock,1,0,,1799.977,
barman-opt11-strips,pfile05-018.pddl,policy,1,0,,1800.107,
barman-opt11-strips,pfile05-019.pddl,stock,1,0,,1799.837,
barman-opt11-strips,pfile05-019.pddl,policy,1,0,,1799.872,
barman-opt11-strips,pfile05-020.pddl,stock,1,0,,1800.045,
barman-opt11-strips,pfile05-020.pddl,policy,1,0,,1800.097,
parking-opt14-strips,p_12_7-01.pddl,stock,1,0,,1799.870,
parking-opt14-strips,p_12_7-01.pddl,policy,1,1,18,978.314,973.81
parking-opt14-strips,p_12_7-02.pddl,stock,1,0,,1799.857,
parking-opt14-strips,p_12_7-02.pddl,policy,1,1,18,1470.722,1466.26
parking-opt14-strips,p_12_7-03.pddl,stock,1,1,17,1188.921,1183.28
parking-opt14-strips,p_12_7-03.pddl,policy,1,1,17,844.620,840.98
parking-opt14-strips,p_12_7-04.pddl,stock,1,0,,1799.699,
parking-opt14-strips,p_12_7-04.pddl,policy,1,0,,1799.844,
parking-opt14-strips,p_14_8-01.pddl,stock,1,0,,1800.007,
parking-opt14-strips,p_14_8-01.pddl,policy,1,0,,1800.008,
parking-opt14-strips,p_14_8-02.pddl,stock,1,0,,1799.715,
parking-opt14-strips,p_14_8-02.pddl,policy,1,0,,1799.720,
parking-opt14-strips,p_14_8-03.pddl,stock,1,0,,1799.816,
parking-opt14-strips,p_14_8-03.pddl,policy,1,0,,1800.089,
parking-opt14-strips,p_14_8-04.pddl,stock,1,0,,1799.623,
parking-opt14-strips,p_14_8-04.pddl,policy,1,0,,1799.684,
parking-opt14-strips,p_16_9-01.pddl,stock,1,0,,1800.334,
parking-opt14-strips,p_16_9-01.pddl,policy,1,0,,1800.326,
parking-opt14-strips,p_16_9-02.pddl,stock,1,0,,1799.326,
parking-opt14-strips,p_16_9-02.pddl,policy,1,0,,1799.727,
parking-opt14-strips,p_16_9-03.pddl,stock,1,0,,1800.333,
parking-opt14-strips,p_16_9-03.pddl,policy,1,0,,1800.476,
parking-opt14-strips,p_16_9-04.pddl,stock,1,0,,1800.520,
parking-opt14-strips,p_16_9-04.pddl,policy,1,0,,1800.356,
parking-opt14-strips,p_18_10-01.pddl,stock,1,0,,1800.187,
parking-opt14-strips,p_18_10-01.pddl,policy,1,0,,1799.811,
parking-opt14-strips,p_18_10-02.pddl,stock,1,0,,1799.667,
parking-opt14-strips,p_18_10-02.pddl,policy,1,0,,1800.023,
parking-opt14-strips,p_18_10-03.pddl,stock,1,0,,1800.207,
parking-opt14-strips,p_18_10-03.pddl,policy,1,0,,1799.929,
parking-opt14-strips,p_18_10-04.pddl,stock,1,0,,1800.054,
parking-opt14-strips,p_18_10-04.pddl,policy,1,0,,1799.922,
