domain,problem,config,solved,cost,search_time,mutex_nodes,sas_vars,co_edges,tr_nodes,fw_expanded,bw_expanded,fw_closed_nodes,bw_closed_nodes,peak_bdd_nodes,final_bdd_nodes,fw_steps,bw_steps,fw_truncated,bw_truncated
agricola-opt18-strips,p01.pddl,causal,1,786,11.3485,3999,99,,130635,778408,8.87835e+28,171007,133980,11105052,1458203,75,89,0,0
agricola-opt18-strips,p01.pddl,comb-w,1,786,15.992,9444,99,1866,36551,1.07836e+06,8.87835e+28,366914,252890,14364210,2184338,78,82,0,0
agricola-opt18-strips,p01.pddl,tr-select,1,786,18.1703,,,,,,,,,,,,,,
agricola-opt18-strips,p01.pddl,symk,1,786,12.0431,,93,,,,,,,,,,,,
agricola-opt18-strips,p02.pddl,causal,1,878,88.4854,5167,100,,157353,7.12888e+06,1.01016e+30,777618,645911,13500620,6005619,65,122,0,0
agricola-opt18-strips,p02.pddl,comb-w,1,878,149.793,6219,100,2099,76782,1.15353e+07,1.01016e+30,1029726,1459554,20482924,9926694,75,113,0,0
agricola-opt18-strips,p02.pddl,tr-select,1,878,150.585,,,,,,,,,,,,,,
agricola-opt18-strips,p02.pddl,symk,1,878,17.5173,,94,,,,,,,,,,,,
agricola-opt18-strips,p03.pddl,causal,1,788,91.9156,6087,101,,243439,3.96877e+07,1.43862e+31,2692265,718116,16795548,6826657,155,32,0,0
agricola-opt18-strips,p03.pddl,comb-w,1,788,34.3374,4858,101,2100,36836,3.96877e+07,1.43862e+31,846761,500194,16910012,3447504,155,32,0,0
agricola-opt18-strips,p03.pddl,tr-select,1,788,31.9777,,,,,,,,,,,,,,
agricola-opt18-strips,p03.pddl,symk,1,788,160.893,,95,,,,,,,,,,,,
agricola-opt18-strips,p04.pddl,causal,1,946,47.0304,5783,109,,112495,9.012e+06,1.13643e+32,839265,369138,16276372,5361808,87,139,0,0
agricola-opt18-strips,p04.pddl,comb-w,1,946,50.1884,8839,109,2641,43853,4.08747e+07,1.13643e+32,1327925,949907,28892962,10035744,129,96,0,0
agricola-opt18-strips,p04.pddl,tr-select,1,946,36.1701,,,,,,,,,,,,,,
agricola-opt18-strips,p04.pddl,symk,1,946,37.0364,,103,,,,,,,,,,,,
agricola-opt18-strips,p05.pddl,causal,1,979,32.1669,5919,110,,76678,3.19487e+07,1.293e+33,490708,458770,14276318,3523454,175,84,0,0
agricola-opt18-strips,p05.pddl,comb-w,1,979,35.1773,11551,110,2632,41248,3.30595e+07,1.293e+33,779467,654902,28083538,5884674,184,70,0,0
agricola-opt18-strips,p05.pddl,tr-select,1,979,38.2364,,,,,,,,,,,,,,
agricola-opt18-strips,p05.pddl,symk,1,979,78.3777,,104,,,,,,,,,,,,
agricola-opt18-strips,p06.pddl,causal,1,1038,385.425,8527,111,,270660,1.47328e+08,1.84144e+34,3917051,1527462,35966224,26060803,164,94,0,0
agricola-opt18-strips,p06.pddl,comb-w,0,,,8462,111,2977,356488,,,,,,,,,,
agricola-opt18-strips,p06.pddl,tr-select,1,1038,161.898,,,,,,,,,,,,,,
agricola-opt18-strips,p06.pddl,symk,1,1038,355.691,,105,,,,,,,,,,,,
agricola-opt18-strips,p07.pddl,causal,1,1048,75.6698,9032,119,,134319,2.7341e+07,2.23431e+36,1695307,435385,13534346,7807662,159,139,0,0
agricola-opt18-strips,p07.pddl,comb-w,1,1048,55.9565,17784,119,3668,82159,5.24398e+07,2.23431e+36,2273168,656047,22786512,11276371,214,96,0,0
agricola-opt18-strips,p07.pddl,tr-select,1,1048,58.0517,,,,,,,,,,,,,,
agricola-opt18-strips,p07.pddl,symk,1,1048,129.111,,114,,,,,,,,,,,,
agricola-opt18-strips,p08.pddl,causal,1,897,553.531,7529,120,,87755,4.30873e+08,2.54215e+37,7759174,1971557,49770378,40349556,220,107,0,0
agricola-opt18-strips,p08.pddl,comb-w,1,897,554.304,19398,120,3819,117856,4.30873e+08,2.54215e+37,7688323,2612753,53700990,44973215,220,107,0,0
agricola-opt18-strips,p08.pddl,tr-select,1,897,581.765,,,,,,,,,,,,,,
agricola-opt18-strips,p08.pddl,symk,1,897,584.985,,115,,,,,,,,,,,,
agricola-opt18-strips,p09.pddl,causal,1,923,298.867,13851,121,,186832,8.61447e+08,3.62041e+38,2231329,2151459,32477116,22927313,227,81,0,0
agricola-opt18-strips,p09.pddl,comb-w,1,923,519.336,22221,121,4048,70841,8.61447e+08,3.62041e+38,3683704,3440567,51525152,39360544,227,81,0,0
agricola-opt18-strips,p09.pddl,tr-select,1,923,141.053,,,,,,,,,,,,,,
agricola-opt18-strips,p09.pddl,symk,1,923,1001.1,,116,,,,,,,,,,,,
agricola-opt18-strips,p10.pddl,causal,1,1114,204.316,8888,126,,102126,4.62134e+08,3.33657e+38,1430963,1102800,23801358,16799366,283,151,0,0
agricola-opt18-strips,p10.pddl,comb-w,1,1114,288.356,5710,126,4367,127386,4.6378e+08,3.33657e+38,2443658,896979,25970042,19507831,284,150,0,0
agricola-opt18-strips,p10.pddl,tr-select,1,1114,206.301,,,,,,,,,,,,,,
agricola-opt18-strips,p10.pddl,symk,1,1114,461.132,,121,,,,,,,,,,,,
