domain,problem,config,solved,cost,search_time,co_edges,tr_nodes,num_trs,peak_mem_kb
agricola-opt18-strips,p01.pddl,off,1,786,11.3018,,127550,4,853520
agricola-opt18-strips,p01.pddl,on,1,786,14.0728,1866,27599,4,992784
agricola-opt18-strips,p02.pddl,off,1,878,23.064,,89047,5,934804
agricola-opt18-strips,p02.pddl,on,1,878,20.9153,2099,29924,5,1225416
agricola-opt18-strips,p03.pddl,off,1,788,160.785,,243369,6,1032064
agricola-opt18-strips,p03.pddl,on,1,788,70.458,2100,99886,6,1509932
agricola-opt18-strips,p04.pddl,off,1,946,35.7047,,89155,4,1023876
agricola-opt18-strips,p04.pddl,on,1,946,47.987,2641,43728,4,1908224
agricola-opt18-strips,p05.pddl,off,1,979,63.1385,,153783,5,1160832
agricola-opt18-strips,p05.pddl,on,1,979,60.66,2632,47556,5,1489092
agricola-opt18-strips,p06.pddl,off,1,1038,320.5,,268623,6,2027880
agricola-opt18-strips,p06.pddl,on,1,1038,143.051,2977,54972,6,1874924
agricola-opt18-strips,p07.pddl,off,1,1048,144.182,,140040,4,851860
agricola-opt18-strips,p07.pddl,on,1,1048,772.456,3668,306323,4,2557480
agricola-opt18-strips,p08.pddl,off,1,897,523.892,,89469,5,2569284
agricola-opt18-strips,p08.pddl,on,1,897,1230.73,3819,276748,6,4521064
agricola-opt18-strips,p09.pddl,off,1,923,849.528,,351184,6,2596776
agricola-opt18-strips,p09.pddl,on,0,,,4048,332385,7,4064312
agricola-opt18-strips,p10.pddl,off,1,1114,352.384,,178020,4,1593944
agricola-opt18-strips,p10.pddl,on,1,1114,861.915,4367,159023,5,2264964
agricola-opt18-strips,p11.pddl,off,1,1116,310.865,,85566,5,2203860
agricola-opt18-strips,p11.pddl,on,0,,,4448,259526,5,4523908
agricola-opt18-strips,p12.pddl,off,1,1057,904.212,,455325,8,3235432
agricola-opt18-strips,p12.pddl,on,1,1057,1250.85,4699,106766,7,4633080
agricola-opt18-strips,p13.pddl,off,1,1182,944.674,,242873,5,3120892
agricola-opt18-strips,p13.pddl,on,1,1182,999.142,5068,193299,6,2620780
agricola-opt18-strips,p14.pddl,off,1,974,1657.73,,412012,6,4397880
