domain,problem,config,solved,cost,wall,search_time,picked,tr_off,tr_on,probe_time
airport,p01-airport1-p1.pddl,off,1,8,0.827,0.00631865,,,,
airport,p01-airport1-p1.pddl,on,1,8,0.625,0.00650732,,,,
airport,p01-airport1-p1.pddl,selector,1,8,0.928,0.00643024,presolve,,,
airport,p02-airport1-p1.pddl,off,1,9,0.726,0.0067075,,,,
airport,p02-airport1-p1.pddl,on,1,9,0.675,0.00618413,,,,
airport,p02-airport1-p1.pddl,selector,1,9,0.925,0.00604059,presolve,,,
airport,p03-airport1-p2.pddl,off,1,17,1.124,0.0276078,,,,
airport,p03-airport1-p2.pddl,on,1,17,1.275,0.027549,,,,
airport,p03-airport1-p2.pddl,selector,1,17,1.324,0.0264049,presolve,,,
airport,p04-airport2-p1.pddl,off,1,20,0.872,0.011579,,,,
airport,p04-airport2-p1.pddl,on,1,20,0.824,0.0155746,,,,
airport,p04-airport2-p1.pddl,selector,1,20,1.226,0.0170006,presolve,,,
airport,p05-airport2-p1.pddl,off,1,21,0.979,0.0169131,,,,
airport,p05-airport2-p1.pddl,on,1,21,0.877,0.0180157,,,,
airport,p05-airport2-p1.pddl,selector,1,21,1.028,0.0167745,presolve,,,
airport,p06-airport2-p2.pddl,off,1,41,1.483,0.0698553,,,,
airport,p06-airport2-p2.pddl,on,1,41,1.282,0.0702388,,,,
airport,p06-airport2-p2.pddl,selector,1,41,1.683,0.0619913,presolve,,,
airport,p07-airport2-p2.pddl,off,1,41,1.530,0.0579997,,,,
airport,p07-airport2-p2.pddl,on,1,41,1.380,0.0709999,,,,
airport,p07-airport2-p2.pddl,selector,1,41,1.631,0.0659998,presolve,,,
airport,p08-airport2-p3.pddl,off,1,62,2.441,0.415636,,,,
airport,p08-airport2-p3.pddl,on,1,62,2.788,0.708716,,,,
airport,p08-airport2-p3.pddl,selector,1,62,2.482,0.420513,presolve,,,
airport,p09-airport2-p4.pddl,off,1,71,3.339,1.08906,,,,
airport,p09-airport2-p4.pddl,on,1,71,3.397,0.846073,,,,
airport,p09-airport2-p4.pddl,selector,1,71,3.488,1.06099,presolve,,,
airport,p10-airport3-p1.pddl,off,1,18,0.881,0.00921209,,,,
airport,p10-airport3-p1.pddl,on,1,18,0.827,0.012584,,,,
airport,p10-airport3-p1.pddl,selector,1,18,1.030,0.00928991,presolve,,,
airport,p11-airport3-p1.pddl,off,1,21,0.981,0.0165366,,,,
airport,p11-airport3-p1.pddl,on,1,21,0.931,0.0178252,,,,
airport,p11-airport3-p1.pddl,selector,1,21,1.121,0.0161584,presolve,,,
airport,p12-airport3-p2.pddl,off,1,39,1.421,0.0564841,,,,
airport,p12-airport3-p2.pddl,on,1,39,1.272,0.0569786,,,,
airport,p12-airport3-p2.pddl,selector,1,39,1.624,0.0529997,presolve,,,
airport,p13-airport3-p2.pddl,off,1,37,1.422,0.0488844,,,,
airport,p13-airport3-p2.pddl,on,1,37,1.271,0.0504222,,,,
airport,p13-airport3-p2.pddl,selector,1,37,1.524,0.0485885,presolve,,,
airport,p14-airport3-p3.pddl,off,1,60,2.326,0.422298,,,,
airport,p14-airport3-p3.pddl,on,1,60,2.227,0.287207,,,,
airport,p14-airport3-p3.pddl,selector,1,60,2.632,0.572878,presolve,,,
airport,p15-airport3-p3.pddl,off,1,58,2.277,0.287024,,,,
airport,p15-airport3-p3.pddl,on,1,58,2.579,0.5255,,,,
airport,p15-airport3-p3.pddl,selector,1,58,2.378,0.285175,presolve,,,
airport,p16-airport3-p4.pddl,off,1,79,7.054,4.68494,,,,
airport,p16-airport3-p4.pddl,on,1,79,10.679,7.9698,,,,
airport,p16-airport3-p4.pddl,selector,1,79,7.156,4.69447,presolve,,,
airport,p17-airport3-p5.pddl,off,1,88,11.128,8.45956,,,,
airport,p17-airport3-p5.pddl,on,1,88,11.833,8.84518,,,,
airport,p17-airport3-p5.pddl,selector,1,88,11.335,8.52312,presolve,,,
airport,p18-airport3-p6.pddl,off,1,107,196.142,192.47,,,,
airport,p18-airport3-p6.pddl,on,1,107,103.123,99.2494,,,,
airport,p18-airport3-p6.pddl,selector,1,107,208.418,191.22,off,73642,115034,14.978
airport,p19-airport3-p6.pddl,off,1,90,6.702,3.66532,,,,
airport,p19-airport3-p6.pddl,on,1,90,6.702,3.68778,,,,
airport,p19-airport3-p6.pddl,selector,1,90,6.451,3.62645,presolve,,,
airport,p20-airport3-p7.pddl,off,1,115,410.200,405.751,,,,
