domain,problem,config,solved,cost,wall,search_time,picked,tr_off,tr_on,probe_time
agricola-opt18-strips,p01.pddl,off,1,786,15.209,8.7385,,,,
agricola-opt18-strips,p01.pddl,on,1,786,16.817,10.4093,,,,
agricola-opt18-strips,p01.pddl,selector,1,786,15.528,8.73749,presolve,,,
agricola-opt18-strips,p02.pddl,off,1,878,27.292,16.7266,,,,
agricola-opt18-strips,p02.pddl,on,1,878,25.364,16.0454,,,,
agricola-opt18-strips,p02.pddl,selector,1,878,36.595,16.142,on,89047,29924,19.305
agricola-opt18-strips,p03.pddl,off,1,788,113.393,99.1015,,,,
agricola-opt18-strips,p03.pddl,on,1,788,63.092,47.34,,,,
agricola-opt18-strips,p03.pddl,selector,1,788,72.648,47.0554,on,243369,99886,24.386
agricola-opt18-strips,p04.pddl,off,1,946,35.543,27.6123,,,,
agricola-opt18-strips,p04.pddl,on,1,946,55.146,45.1971,,,,
agricola-opt18-strips,p04.pddl,selector,1,946,51.976,32.5642,on,89155,43728,18.142
agricola-opt18-strips,p05.pddl,off,1,979,59.014,46.1925,,,,
agricola-opt18-strips,p05.pddl,on,1,979,58.814,45.8964,,,,
agricola-opt18-strips,p05.pddl,selector,1,979,80.590,54.247,on,153783,47556,25.035
agricola-opt18-strips,p06.pddl,off,1,1038,227.682,209.088,,,,
agricola-opt18-strips,p06.pddl,on,1,1038,117.153,99.0133,,,,
agricola-opt18-strips,p06.pddl,selector,1,1038,129.973,99.2511,on,268623,54972,29.316
agricola-opt18-strips,p07.pddl,off,1,1048,105.182,94.6693,,,,
agricola-opt18-strips,p07.pddl,on,1,1048,516.459,504.918,,,,
agricola-opt18-strips,p07.pddl,selector,1,1048,110.312,87.5702,off,140040,306323,21.420
agricola-opt18-strips,p08.pddl,off,1,897,333.866,316.102,,,,
agricola-opt18-strips,p08.pddl,on,1,897,774.744,756.15,,,,
agricola-opt18-strips,p08.pddl,selector,1,897,428.275,397.673,off,89469,276748,27.851
agricola-opt18-strips,p09.pddl,off,1,923,579.340,552.071,,,,
agricola-opt18-strips,p09.pddl,on,0,,1800.122,,,,,
