domain,problem,config,solved,cost,search_time,co_edges,tr_nodes,num_trs,peak_mem_kb
depot,p01.pddl,off,1,10,0.0110047,,1479,1,496620
depot,p01.pddl,on,1,10,0.0115994,97,1585,1,496748
depot,p01.pddl,on-w0.5,1,10,0.0102571,97,1542,1,496748
depot,p01.pddl,on-w2,1,10,0.010254,97,1585,1,496748
depot,p01.pddl,on-skipc,1,10,0.0117809,17,1778,1,496620
depot,p01.pddl,on-norm,1,10,0.011015,97,1542,1,496748
depot,p02.pddl,off,1,15,0.104648,,18731,1,461196
depot,p02.pddl,on,1,15,0.115725,294,12867,1,460812
depot,p02.pddl,on-w0.5,1,15,0.100355,294,17955,1,460876
depot,p02.pddl,on-w2,1,15,0.0915028,294,8898,1,459568
depot,p02.pddl,on-skipc,1,15,0.0902071,114,9734,1,460812
depot,p02.pddl,on-norm,1,15,0.111002,294,16171,1,461004
depot,p03.pddl,off,1,27,4.16817,,116665,2,671696
depot,p03.pddl,on,1,27,3.53679,621,33240,1,634208
depot,p03.pddl,on-w0.5,1,27,4.71591,621,70447,1,684360
depot,p03.pddl,on-w2,1,27,3.51475,621,33069,1,633792
depot,p03.pddl,on-skipc,1,27,3.17652,315,36576,1,641692
depot,p03.pddl,on-norm,1,27,2.33153,621,34518,1,639488
depot,p04.pddl,off,1,30,130.684,,363789,7,1048780
depot,p04.pddl,on,1,30,54.2,1100,98080,1,1194584
depot,p04.pddl,on-w0.5,1,30,121.072,1100,160398,2,1123476
depot,p04.pddl,on-w2,1,30,59.0163,1100,97362,1,1050712
depot,p04.pddl,on-skipc,1,30,69.0235,644,109395,2,1204776
depot,p04.pddl,on-norm,1,30,112.918,1100,203806,3,1048416
depot,p05.pddl,off,0,,,,1439159,19,3506140
depot,p05.pddl,on,0,,,1755,560238,7,4685392
depot,p05.pddl,on-w0.5,0,,,1755,468691,7,4243024
depot,p05.pddl,on-w2,0,,,1755,459717,7,3936304
depot,p05.pddl,on-skipc,0,,,1125,646989,9,5398248
depot,p05.pddl,on-norm,0,,,1755,590031,9,3604976
depot,p06.pddl,off,0,,,,3107625,109,4001172
depot,p06.pddl,on,0,,,4320,1222835,21,4658856
depot,p06.pddl,on-w0.5,0,,,4320,3104585,48,4103976
depot,p06.pddl,on-w2,0,,,4320,1199373,24,4360372
depot,p06.pddl,on-skipc,0,,,3150,3603657,113,3356864
depot,p06.pddl,on-norm,0,,,4320,3001424,66,3603372
depot,p07.pddl,off,1,21,12.3298,,120643,2,870884
depot,p07.pddl,on,1,21,6.212,738,55237,1,838100
depot,p07.pddl,on-w0.5,1,21,7.67114,738,43083,1,797928
depot,p07.pddl,on-w2,1,21,6.0739,738,36931,1,731176
depot,p07.pddl,on-skipc,1,21,6.93459,360,47168,1,816092
depot,p07.pddl,on-norm,1,21,13.2248,738,113459,2,919276
depot,p08.pddl,off,0,,,,1330385,18,4027576
depot,p08.pddl,on,0,,,2010,506748,8,4575608
depot,p08.pddl,on-w0.5,0,,,2010,862687,12,4449744
depot,p08.pddl,on-w2,0,,,2010,507339,8,4537164
depot,p08.pddl,on-skipc,0,,,1260,393107,6,6028760
depot,p08.pddl,on-norm,0,,,2010,385359,6,4245852
depot,p09.pddl,off,0,,,,3854682,117,3059524
depot,p09.pddl,on,0,,,4815,2081079,35,4273824
depot,p09.pddl,on-w0.5,0,,,4815,2646730,44,4341540
depot,p09.pddl,on-w2,0,,,4815,1572015,27,3981572
depot,p09.pddl,on-skipc,0,,,3465,3781209,98,3710548
depot,p09.pddl,on-norm,0,,,4815,1056673,19,4379692
depot,p10.pddl,off,1,24,818.551,,193432,3,2578056
depot,p10.pddl,on,1,24,1205.32,1215,123469,2,3308932
depot,p10.pddl,on-w0.5,0,,,1215,140742,2,4608800
depot,p10.pddl,on-w2,0,,,1215,124879,2,3555032
depot,p10.pddl,on-skipc,1,24,864.256,495,187781,2,2148188
depot,p10.pddl,on-norm,1,24,1263.47,1215,136015,2,3127728
depot,p11.pddl,off,0,,,,2734689,42,3188156
depot,p11.pddl,on,0,,,2985,901089,14,3966344
depot,p11.pddl,on-w0.5,0,,,2985,740345,12,4803232
depot,p11.pddl,on-w2,0,,,2985,909548,14,4286308
depot,p11.pddl,on-skipc,0,,,1665,911423,13,4639940
depot,p11.pddl,on-norm,0,,,2985,805230,12,4464888
depot,p12.pddl,off,0,,,,5771506,260,2456508
depot,p12.pddl,on,0,,,6615,2470997,46,5651412
depot,p12.pddl,on-w0.5,0,,,6615,3855687,60,5169144
depot,p12.pddl,on-w2,0,,,6615,2316111,47,4680932
depot,p12.pddl,on-skipc,0,,,4410,5798078,349,3698972
depot,p12.pddl,on-norm,0,,,6615,6310092,132,3055720
depot,p13.pddl,off,1,25,810.795,,220177,5,2293792
depot,p13.pddl,on,1,25,87.0409,1443,157669,2,1271120
depot,p13.pddl,on-w0.5,1,25,848.736,1443,186140,3,2370360
depot,p13.pddl,on-w2,1,25,893.436,1443,130371,2,2265444
depot,p13.pddl,on-skipc,1,25,625.492,555,221130,4,2363976
depot,p13.pddl,on-norm,1,25,120.36,1443,149792,2,1354444
depot,p14.pddl,off,0,,,,2535786,39,4410684
depot,p14.pddl,on,0,,,3445,834603,13,4865492
depot,p14.pddl,on-w0.5,0,,,3445,802570,12,5098916
depot,p14.pddl,on-w2,0,,,3445,828080,12,4832784
depot,p14.pddl,on-skipc,0,,,1845,875561,14,5591392
depot,p14.pddl,on-norm,0,,,3445,806085,12,4549548
depot,p15.pddl,off,0,,,,5478488,178,4364936
depot,p15.pddl,on,0,,,7455,4670829,70,3541924
depot,p15.pddl,on-w0.5,0,,,7455,4599235,74,3449000
depot,p15.pddl,on-w2,0,,,7455,3877876,64,4662296
depot,p15.pddl,on-skipc,0,,,4830,1931304,38,5947940
depot,p15.pddl,on-norm,0,,,7455,1942120,38,3740680
depot,p16.pddl,off,0,,,,396904,5,3223876
depot,p16.pddl,on,0,,,1419,385391,6,4670188
depot,p16.pddl,on-w0.5,0,,,1419,390629,6,4488428
depot,p16.pddl,on-w2,0,,,1419,387505,6,4759896
depot,p16.pddl,on-skipc,0,,,675,393808,5,3761924
depot,p16.pddl,on-norm,0,,,1419,587233,8,5221492
depot,p17.pddl,off,0,,,,4093779,70,4122412
depot,p17.pddl,on,0,,,3565,2314751,34,4873400
depot,p17.pddl,on-w0.5,0,,,3565,2028963,32,7623552
depot,p17.pddl,on-w2,0,,,3565,2055247,33,5009280
depot,p17.pddl,on-skipc,0,,,2205,1135723,19,5216668
depot,p17.pddl,on-norm,0,,,3565,1194062,19,4754268
depot,p18.pddl,off,0,,,,9173917,585,3486196
depot,p18.pddl,on,0,,,7935,4148469,66,6035540
